index,missing_indexes
460,[2]
461,"[6, 7]"
462,[]
463,[4]
464,[]
465,[4]
466,[]
467,"[2, 3, 5]"
468,[3]
469,"[2, 6]"
470,[]
471,[]
472,[]
473,[]
474,[]
475,"[2, 6]"
476,"[3, 4]"
477,[3]
478,"[6, 7]"
479,"[1, 5]"
480,"[4, 7]"
481,[4]
482,[]
483,[]
484,[5]
485,"[2, 4]"
486,[]
487,[7]
488,[]
489,[5]
490,"[3, 7]"
491,"[1, 2, 5]"
492,"[3, 7]"
493,[]
494,[4]
495,[7]
496,[]
497,[5]
498,[2]
499,[3]
500,"[3, 4, 7]"
501,[3]
502,[]
503,"[1, 6]"
504,[]
505,[]
506,"[4, 5]"
507,[7]
508,"[1, 4, 6]"
509,[2]
510,[]
511,"[3, 4, 7]"
512,"[2, 3]"
513,[4]
514,"[4, 7]"
515,"[1, 3]"
516,[]
517,[]
518,[]
519,[]
520,[6]
521,"[3, 4, 7]"
522,[6]
523,[]
524,[]
525,"[1, 3, 6]"
526,"[2, 4]"
527,"[3, 6]"
528,[4]
529,[1]
530,"[1, 4, 5]"
531,[5]
532,"[2, 5, 6]"
533,[3]
534,"[2, 3, 7]"
535,"[3, 4]"
536,"[2, 6]"
537,[1]
538,[]
539,[3]
540,"[1, 4]"
541,"[2, 3, 5]"
542,"[3, 7]"
543,[]
544,[5]
545,"[4, 5]"
546,[3]
547,[7]
548,[]
549,"[2, 3]"
550,"[1, 7]"
551,[]
552,[]
553,[]
554,"[2, 4, 6]"
555,[4]
556,"[1, 4, 5]"
557,[]
558,"[4, 5]"
559,[]
560,[2]
561,[2]
562,[2]
563,[7]
564,[]
565,[]
566,[]
567,"[1, 5, 6]"
568,"[1, 3]"
569,[1]
570,[]
571,"[1, 2, 6]"
572,[]
573,"[1, 2]"
574,"[4, 7]"
575,[]
576,[]
577,[]
578,"[4, 5]"
579,[5]
580,"[6, 7]"
581,"[3, 6]"
582,[5]
583,[1]
584,"[1, 2]"
585,[1]
586,[]
587,"[5, 7]"
588,[]
589,"[2, 3, 6, 7]"
590,[6]
591,"[2, 3, 4, 5, 6]"
592,[2]
593,[5]
594,[]
595,[]
596,[5]
597,"[3, 7]"
598,[]
599,[7]
600,[6]
601,[7]
602,[]
603,[3]
604,[]
605,[1]
606,[]
607,[]
608,[5]
609,[4]
610,[4]
611,[]
612,"[2, 6]"
613,[3]
614,"[4, 6]"
615,[1]
616,"[1, 2]"
617,"[2, 6]"
618,[]
619,[2]
620,[]
621,[]
622,"[3, 7]"
623,[2]
624,"[1, 2, 7]"
625,"[2, 3]"
626,[]
627,"[3, 7]"
628,[4]
629,[]
630,[4]
631,[]
632,"[5, 6, 7]"
633,"[2, 6]"
634,"[4, 6]"
635,"[3, 5, 6]"
636,[3]
637,[6]
638,[]
639,[3]
640,[]
641,[5]
642,"[4, 6, 7]"
643,[3]
644,[1]
645,[5]
646,[3]
647,[]
648,[4]
649,[]
650,[1]
651,[]
652,"[5, 6]"
653,"[2, 3]"
654,[]
655,[5]
656,[2]
657,"[5, 7]"
658,[6]
659,[]
660,[]
661,"[1, 2]"
662,[5]
663,[1]
664,[]
665,[7]
666,[3]
667,[]
668,[]
669,"[1, 2]"
670,[3]
671,[7]
672,[]
673,"[1, 4]"
674,[]
675,"[1, 3]"
676,"[2, 5]"
677,[]
678,[2]
679,[]
680,[]
681,[]
682,[]
683,[]
684,[]
685,"[1, 7]"
686,[7]
687,[]
688,[]
689,[6]
690,[3]
691,[3]
692,"[3, 5]"
693,[7]
694,[1]
695,[3]
696,"[1, 7]"
697,[4]
698,[3]
699,[]
700,[]
701,"[3, 7]"
702,[4]
703,[]
704,"[1, 3]"
705,[2]
706,[1]
707,[5]
708,[7]
709,[]
710,[]
711,[]
712,[1]
713,[1]
714,[3]
715,[]
716,"[4, 7]"
717,[]
718,[]
719,[]
720,[1]
721,"[2, 6]"
722,[]
723,[]
724,"[2, 6]"
725,[2]
726,[2]
727,"[2, 7]"
728,[1]
729,[]
730,"[4, 7]"
731,[5]
732,[3]
733,[1]
734,[3]
735,[]
736,[3]
737,[7]
738,[]
739,"[1, 5]"
740,[]
741,"[4, 7]"
742,"[2, 4]"
743,[3]
744,[7]
745,"[2, 3]"
746,[]
747,[3]
748,"[4, 5]"
749,[1]
750,[]
751,"[1, 4]"
752,[]
753,"[2, 3, 7]"
754,"[3, 7]"
755,"[4, 5]"
756,[]
757,[]
758,[6]
759,[]
760,[7]
761,[7]
762,[6]
763,"[4, 7]"
764,"[6, 7]"
765,[]
766,[6]
767,[]
768,"[2, 5]"
769,[6]
770,"[2, 7]"
771,"[1, 7]"
772,"[2, 4]"
773,"[2, 7]"
774,[4]
775,[6]
776,[3]
777,[6]
778,[6]
779,[4]
780,[4]
781,[]
782,[]
783,[3]
784,"[5, 6]"
785,[]
786,[3]
787,"[2, 4]"
788,"[3, 4]"
789,[]
790,"[3, 7]"
791,[2]
792,[]
793,[]
794,"[2, 3, 7]"
795,"[6, 7]"
796,[5]
797,"[3, 6]"
798,[]
799,[2]
800,[4]
801,[]
802,[]
803,[2]
804,[2]
805,[2]
806,"[2, 3, 6]"
807,[]
808,[6]
809,[]
810,"[1, 4]"
811,[]
812,[]
813,[4]
814,"[5, 6]"
815,[1]
816,"[2, 7]"
817,"[1, 5]"
818,[7]
819,[]
820,"[2, 6, 7]"
821,[]
822,"[1, 5]"
823,[7]
824,"[1, 6]"
825,[]
826,"[1, 2, 3]"
827,[7]
828,[5]
829,[6]
830,"[1, 3, 5]"
831,[]
832,[4]
833,"[2, 5]"
834,"[2, 4]"
835,[2]
836,"[1, 4, 7]"
837,"[1, 4]"
838,[]
839,[]
840,[2]
841,"[3, 7]"
842,[1]
843,"[3, 4, 6, 7]"
844,"[3, 5, 7]"
845,[]
846,[4]
847,[]
848,[2]
849,[4]
850,"[1, 4]"
851,"[1, 6]"
852,[6]
853,[3]
854,[6]
855,[7]
856,[1]
857,[4]
858,[]
859,[4]
860,"[1, 4]"
861,[]
862,[4]
863,"[1, 6]"
864,"[3, 5, 6]"
865,"[3, 5]"
866,[5]
867,[2]
868,[6]
869,"[1, 4]"
870,[5]
871,[]
872,[4]
873,[2]
874,[4]
875,"[1, 7]"
876,[]
877,[6]
878,[]
879,[]
880,"[4, 7]"
881,"[6, 7]"
882,[]
883,"[4, 5]"
884,"[3, 5, 7]"
885,"[1, 4]"
886,[7]
887,[3]
888,[1]
889,[]
890,"[2, 3, 6]"
891,"[2, 3, 5]"
892,[]
893,[]
894,[]
895,"[5, 6]"
896,"[2, 5, 6]"
897,[]
898,[]
899,"[2, 7]"
900,[]
901,[]
902,[2]
903,[]
904,"[1, 2, 6]"
905,"[1, 5, 6]"
906,[7]
907,[2]
908,"[6, 7]"
909,[6]
910,[]
911,"[1, 7]"
912,[1]
913,"[3, 5]"
914,[]
915,[]
916,"[3, 5]"
917,"[1, 3]"
918,[3]
919,[]
920,[]
921,"[3, 6, 7]"
922,[6]
923,[]
924,"[1, 2]"
925,"[2, 3, 5]"
926,[]
927,"[4, 6]"
928,[6]
929,[]
930,[2]
931,[]
932,"[3, 4]"
933,"[2, 6]"
934,[]
935,"[5, 7]"
936,[]
937,[]
938,[1]
939,[5]
940,"[1, 3]"
941,"[1, 6]"
942,"[2, 7]"
943,[]
944,"[1, 6]"
945,[]
946,[5]
947,[]
948,[]
949,[1]
950,"[4, 5]"
951,[3]
952,"[2, 4]"
953,[6]
954,[4]
955,[7]
956,[6]
957,[3]
958,[3]
959,[]
960,[6]
961,"[4, 5]"
962,[2]
963,[5]
964,[2]
965,[]
966,[5]
967,"[2, 4, 6]"
968,[6]
969,"[2, 7]"
970,"[4, 5, 6]"
971,[]
972,"[1, 5]"
973,[4]
974,[]
975,"[5, 6, 7]"
976,[]
977,[]
978,[2]
979,"[1, 2]"
980,[]
981,"[5, 7]"
982,[]
983,"[4, 7]"
984,[]
985,[1]
986,[7]
987,[]
988,[]
989,[3]
990,[]
991,"[1, 2]"
992,"[2, 3]"
993,"[1, 4, 5]"
994,[]
995,[]
996,"[5, 6]"
997,"[2, 4, 6]"
998,"[3, 7]"
999,[7]
1000,[]
1001,[2]
1002,[1]
1003,[]
1004,"[2, 3, 7]"
1005,[]
1006,"[4, 5]"
1007,"[1, 2]"
1008,[1]
1009,[1]
1010,[6]
1011,"[3, 5]"
1012,"[3, 7]"
1013,[3]
1014,[6]
1015,"[6, 7]"
1016,"[2, 6]"
1017,[]
1018,"[4, 7]"
1019,[]
1020,[]
1021,"[4, 6, 7]"
1022,[]
1023,[3]
1024,[]
1025,[1]
1026,[4]
1027,[1]
1028,"[3, 7]"
1029,[]
1030,[5]
1031,[7]
1032,[6]
1033,[3]
1034,[]
1035,[]
1036,[]
1037,[7]
1038,"[1, 7]"
1039,"[1, 7]"
1040,[3]
1041,"[3, 6]"
1042,[]
1043,[3]
1044,"[2, 6]"
1045,[]
1046,[]
1047,[7]
1048,[5]
1049,[7]
1050,"[1, 7]"
1051,"[1, 3]"
1052,[1]
1053,"[4, 7]"
1054,[]
1055,[]
1056,[]
1057,[5]
1058,[5]
1059,[6]
1060,"[5, 7]"
1061,"[2, 5, 7]"
1062,"[2, 7]"
1063,[7]
1064,[7]
1065,[2]
1066,"[1, 7]"
1067,"[2, 4]"
1068,[]
1069,[]
1070,[2]
1071,[6]
1072,[]
1073,[1]
1074,[]
1075,[]
1076,[4]
1077,[5]
1078,"[1, 4]"
1079,[4]
1080,[]
1081,[]
1082,[5]
1083,"[2, 6]"
1084,"[6, 7]"
1085,"[3, 6]"
1086,[]
1087,[]
1088,[6]
1089,[]
1090,[]
1091,"[3, 4]"
1092,[5]
1093,[6]
1094,"[1, 2, 3]"
1095,[3]
1096,[]
1097,[]
1098,[5]
1099,"[2, 4]"
1100,"[3, 7]"
1101,"[5, 7]"
1102,"[1, 2]"
1103,[6]
1104,[5]
1105,[4]
1106,[]
1107,[]
1108,[7]
1109,[]
1110,"[1, 7]"
1111,[]
1112,[]
1113,[5]
1114,[]
1115,[3]
1116,[7]
1117,[6]
1118,[4]
1119,"[1, 2, 3, 6]"
1120,"[3, 5]"
1121,[5]
1122,[]
1123,"[1, 2]"
1124,[]
1125,[]
1126,"[5, 7]"
1127,[4]
1128,"[2, 3, 6]"
1129,"[2, 4, 7]"
1130,[]
1131,[1]
1132,[]
1133,[7]
1134,"[2, 3]"
1135,[6]
1136,[]
1137,[3]
1138,"[3, 6, 7]"
1139,[]
1140,[]
1141,[]
1142,[]
1143,[]
1144,"[2, 4]"
1145,"[5, 6]"
1146,[]
1147,"[3, 6]"
1148,[]
1149,[]
1150,[5]
1151,[3]
1152,[]
1153,"[1, 6, 7]"
1154,"[2, 5]"
1155,[]
1156,[]
1157,[]
1158,"[4, 6]"
1159,"[6, 7]"
1160,"[2, 7]"
1161,"[1, 4]"
1162,[3]
1163,[]
1164,[5]
1165,[]
1166,[]
1167,[6]
1168,[3]
1169,"[1, 5, 6]"
1170,[]
1171,[3]
1172,[6]
1173,[]
1174,"[1, 3, 4]"
1175,[3]
1176,"[1, 5, 6]"
1177,[]
1178,"[1, 7]"
1179,[]
1180,[2]
1181,[6]
1182,[6]
1183,[]
1184,[]
1185,[]
1186,"[5, 7]"
1187,[2]
1188,"[1, 2]"
1189,[]
1190,[]
1191,[6]
1192,[]
1193,[]
1194,[3]
1195,[]
1196,[4]
1197,[]
1198,[]
1199,"[2, 3, 4]"
1200,[]
1201,[]
1202,[]
1203,[]
1204,[]
1205,"[2, 4, 7]"
1206,[7]
1207,[2]
1208,[6]
1209,[]
1210,[3]
1211,[]
1212,[3]
1213,[3]
1214,[5]
1215,"[1, 4, 5]"
1216,[]
1217,[]
1218,[1]
1219,[1]
1220,"[4, 5]"
1221,[]
1222,[]
1223,"[2, 6]"
1224,"[1, 7]"
1225,[4]
1226,"[1, 7]"
1227,[]
1228,"[3, 5]"
1229,"[4, 5, 6]"
1230,[5]
1231,[]
1232,"[2, 7]"
1233,[4]
1234,"[5, 7]"
1235,[5]
1236,[7]
1237,"[1, 4, 7]"
1238,[]
1239,[1]
1240,[]
1241,[1]
1242,"[3, 7]"
1243,"[4, 5]"
1244,[7]
1245,[]
1246,[]
1247,"[3, 5, 7]"
1248,[]
1249,[]
1250,"[1, 3]"
1251,[2]
1252,[2]
1253,"[4, 5, 6]"
1254,[1]
1255,[2]
1256,[4]
1257,[]
1258,[]
1259,"[1, 2, 3]"
1260,[]
1261,"[4, 5]"
1262,[]
1263,[3]
1264,"[3, 5]"
1265,"[2, 3, 4, 7]"
1266,[1]
1267,[6]
1268,[1]
1269,[]
1270,[2]
1271,[7]
1272,[4]
1273,"[1, 3, 4, 6]"
1274,[]
1275,[1]
1276,[5]
1277,[]
1278,[3]
1279,[]
1280,[]
1281,[1]
1282,"[5, 6]"
1283,"[5, 7]"
1284,[4]
1285,[]
1286,[5]
1287,[7]
1288,[]
1289,[1]
1290,"[5, 7]"
1291,[4]
1292,[4]
1293,[]
1294,[]
1295,[6]
1296,[]
1297,[1]
1298,[5]
1299,"[3, 5]"
1300,[]
1301,[1]
1302,[3]
1303,[]
1304,[3]
1305,"[3, 5]"
1306,[4]
1307,"[4, 7]"
1308,[]
1309,[2]
1310,"[6, 7]"
1311,[]
1312,"[3, 4]"
1313,[]
1314,"[1, 2, 3]"
1315,[6]
1316,[4]
1317,[]
1318,[5]
1319,[]
1320,[]
1321,"[3, 5]"
1322,[1]
1323,[6]
1324,[2]
1325,[4]
1326,[]
1327,[]
1328,[4]
1329,[5]
1330,[]
1331,[5]
1332,[]
1333,[5]
1334,"[5, 7]"
1335,"[1, 2]"
1336,"[1, 5, 6, 7]"
1337,"[5, 6]"
1338,[3]
1339,"[2, 3]"
1340,[5]
1341,[]
1342,[]
1343,[3]
1344,[]
1345,"[6, 7]"
1346,[4]
1347,[4]
1348,[7]
1349,[5]
1350,[]
1351,[4]
1352,[]
1353,"[4, 5]"
1354,[2]
1355,"[2, 3]"
1356,"[2, 6]"
1357,"[1, 5]"
1358,[3]
1359,"[4, 5]"
1360,"[3, 4]"
1361,"[6, 7]"
1362,[1]
1363,[4]
1364,[5]
1365,[3]
1366,[]
1367,"[1, 4, 5]"
1368,[]
1369,[]
1370,[]
1371,"[1, 5]"
1372,"[2, 6, 7]"
1373,[7]
1374,[6]
1375,[]
1376,[6]
1377,"[2, 3, 7]"
1378,"[4, 5]"
1379,[5]
1380,[]
1381,[4]
1382,"[4, 6, 7]"
1383,[5]
1384,"[3, 4, 6]"
1385,"[1, 6]"
1386,"[4, 5]"
1387,[5]
1388,"[4, 7]"
1389,[]
1390,[7]
1391,[2]
1392,"[3, 4]"
1393,"[1, 6]"
1394,[4]
1395,[]
1396,[5]
1397,[6]
1398,[]
1399,"[5, 6]"
1400,[]
1401,[]
1402,"[3, 6, 7]"
1403,[]
1404,[7]
1405,"[2, 3, 4]"
1406,[]
1407,"[1, 2, 4]"
1408,[1]
1409,[]
1410,"[1, 2, 6]"
1411,"[5, 6, 7]"
1412,[]
1413,"[3, 6]"
1414,"[2, 7]"
1415,"[3, 5]"
1416,[]
1417,[5]
1418,[]
1419,[5]
1420,[]
1421,[7]
1422,[7]
1423,"[3, 4, 7]"
1424,[]
1425,[2]
1426,[4]
1427,"[2, 4]"
1428,[]
1429,[1]
1430,"[3, 5]"
1431,[2]
1432,"[1, 6]"
1433,[7]
1434,"[2, 4]"
1435,[4]
1436,[2]
1437,"[1, 5]"
1438,[]
1439,[3]
1440,[1]
1441,[4]
1442,"[6, 7]"
1443,[]
1444,[]
1445,"[2, 6]"
1446,"[5, 7]"
1447,"[3, 6]"
1448,[]
1449,[4]
1450,"[3, 4]"
1451,"[2, 7]"
1452,[]
1453,"[4, 7]"
1454,[1]
1455,[3]
1456,"[1, 6]"
1457,"[2, 5, 6]"
1458,"[4, 7]"
1459,"[1, 6]"
1460,"[3, 4, 7]"
1461,[]
1462,[]
1463,[7]
1464,[]
1465,[3]
1466,"[2, 4]"
1467,[]
1468,[6]
1469,[]
1470,"[4, 6]"
1471,[]
1472,[3]
1473,"[1, 4]"
1474,[]
1475,"[2, 3]"
1476,[6]
1477,[6]
1478,[]
1479,[4]
1480,[3]
1481,[5]
1482,"[2, 4, 6, 7]"
1483,"[1, 6]"
1484,[]
1485,[]
1486,[4]
1487,[]
1488,[5]
1489,[]
1490,[]
1491,[4]
1492,[]
1493,[5]
1494,[]
1495,[7]
1496,[3]
1497,[]
1498,[]
1499,[5]
1500,[]
1501,[6]
1502,[]
1503,[1]
1504,[]
1505,[]
1506,[]
1507,[]
1508,[]
1509,[2]
1510,[5]
1511,[3]
1512,[7]
1513,[]
1514,[5]
1515,[6]
1516,[4]
1517,[5]
1518,[]
1519,[7]
1520,"[1, 7]"
1521,[]
1522,[]
1523,"[3, 4, 7]"
1524,[7]
1525,[3]
1526,[7]
1527,[7]
1528,[1]
1529,"[5, 6]"
1530,[5]
1531,[1]
1532,"[1, 2]"
1533,[]
1534,"[1, 3, 4]"
1535,"[6, 7]"
1536,[7]
1537,[5]
1538,"[2, 6]"
1539,"[1, 2, 3]"
1540,"[4, 7]"
1541,[4]
1542,[]
1543,[3]
1544,[2]
1545,[6]
1546,[6]
1547,[]
1548,[]
1549,"[1, 4]"
1550,[2]
1551,[6]
1552,"[1, 2]"
1553,[3]
1554,[]
1555,[3]
1556,[3]
1557,[]
1558,"[2, 6]"
1559,[1]
1560,[]
1561,"[1, 2]"
1562,[2]
1563,[]
1564,[5]
1565,[]
1566,[3]
1567,"[2, 7]"
1568,[]
1569,[]
1570,"[3, 5, 7]"
1571,[2]
1572,"[1, 3]"
1573,[5]
1574,[1]
1575,[6]
1576,[4]
1577,"[3, 6]"
1578,[1]
1579,"[1, 2, 4]"
1580,[]
1581,[]
1582,[]
1583,"[3, 4]"
1584,[7]
1585,[2]
1586,"[1, 3]"
1587,"[2, 5]"
1588,[1]
1589,"[1, 4, 7]"
1590,"[1, 4]"
1591,"[3, 6]"
1592,[6]
1593,[]
1594,"[3, 5]"
1595,[]
1596,[2]
1597,"[1, 2, 7]"
1598,[5]
1599,"[4, 6]"
1600,[2]
1601,"[3, 5]"
1602,[]
1603,"[3, 5, 6]"
1604,[5]
1605,"[5, 6]"
1606,[]
1607,[]
1608,[]
1609,"[2, 4, 7]"
1610,[]
1611,[]
1612,[]
1613,[7]
1614,[3]
1615,[]
1616,[4]
1617,"[1, 3, 5]"
1618,[6]
1619,[4]
1620,[5]
1621,[1]
1622,[]
1623,"[1, 4, 7]"
1624,[6]
1625,"[5, 7]"
1626,[4]
1627,[1]
1628,[2]
1629,[]
1630,[1]
1631,[]
1632,[]
1633,[7]
1634,[]
1635,[]
1636,"[4, 7]"
1637,"[3, 6, 7]"
1638,[]
1639,[2]
1640,[2]
1641,[3]
1642,"[1, 3]"
1643,"[5, 7]"
1644,[]
1645,"[4, 7]"
1646,"[3, 7]"
1647,[6]
1648,[]
1649,[7]
1650,[7]
1651,[]
1652,[]
1653,"[3, 6]"
1654,[6]
1655,[]
1656,"[2, 5]"
1657,[2]
1658,[4]
1659,[4]
1660,[3]
1661,[]
1662,[4]
1663,"[2, 7]"
1664,"[2, 3]"
1665,[6]
1666,[]
1667,[]
1668,[1]
1669,[4]
1670,[1]
1671,[5]
1672,[7]
1673,[5]
1674,"[3, 4, 7]"
1675,[]
1676,[2]
1677,[6]
1678,[3]
1679,[5]
1680,[1]
1681,"[1, 4]"
1682,[]
1683,[6]
1684,[5]
1685,[]
1686,[]
1687,"[5, 6]"
1688,[6]
1689,[7]
1690,[]
1691,"[2, 7]"
1692,[4]
1693,[2]
1694,[]
1695,[]
1696,"[4, 5]"
1697,"[5, 6]"
1698,[6]
1699,[2]
1700,[5]
1701,[6]
1702,[]
1703,[]
1704,[4]
1705,[]
1706,"[2, 4]"
1707,[]
1708,[]
1709,[]
1710,"[2, 3, 4]"
1711,[7]
1712,[4]
1713,"[3, 5, 6]"
1714,"[2, 5, 7]"
1715,"[1, 7]"
1716,[]
1717,[]
1718,"[2, 7]"
1719,[]
1720,"[1, 5]"
1721,[5]
1722,[]
1723,"[3, 4, 6, 7]"
1724,[1]
1725,"[1, 3, 4]"
1726,"[3, 4, 6]"
1727,[]
1728,[1]
1729,[7]
1730,[5]
1731,"[1, 5, 7]"
1732,"[1, 3, 5]"
1733,[6]
1734,[]
1735,"[1, 5, 6]"
1736,"[1, 2]"
1737,[7]
1738,[]
1739,"[1, 2, 4]"
1740,[7]
1741,[3]
1742,[7]
1743,[6]
1744,[2]
1745,[]
1746,[]
1747,[]
1748,"[3, 7]"
1749,[6]
1750,[7]
1751,"[3, 4, 6]"
1752,[5]
1753,[5]
1754,"[1, 2]"
1755,[]
1756,[6]
1757,[]
1758,[]
1759,"[2, 5]"
1760,[3]
1761,[]
1762,[]
1763,"[2, 3, 7]"
1764,"[5, 7]"
1765,[]
1766,[7]
1767,[]
1768,[]
1769,"[6, 7]"
1770,[5]
1771,[]
1772,"[2, 6]"
1773,"[3, 6]"
